일정,내용
2025.06.25 - 2025.07.21,2025년도 여름계절수업 강의시작종료일
2025.07.03 - 2025.07.09,2025년도 1학기 성적열람 및 정정신청기간
2025.07.11 - 2025.07.11,2025년도 1학기 성적 학적이관
2025.07.11 - 2025.07.30,2025년도 2학기 학사학위취득유예신청기간
2025.07.14 - 2025.07.25,2025년도 2학기 국문ㆍ영문 교수계획표 입력
2025.07.22 - 2025.08.14,2025년도 여름도약수업 강의시작종료일
2025.07.25 - 2025.08.01,2025년도 2학기 휴·복학 신청기간
2025.07.30 - 2025.07.31,2025년도 2학기 희망과목담기
2025.08.08 - 2025.08.08,2025년도 2학기 자동신청결과확인
2025.08.11 - 2025.08.13,2025년도 2학기 수강신청(학부)
2025.08.11 - 2025.08.13,2025년도 2학기 수강신청(대학원)
2025.08.11 - 2025.08.13,2025년도 2학기 수강신청(타대생)
2025.08.11 - 2025.08.13,2025년도 2학기 대기순번제 적용기간
2025.08.18 - 2025.08.19,2025년도 2학기 수강신청(학부)
2025.08.18 - 2025.08.19,2025년도 2학기 수강신청(대학원)
2025.08.18 - 2025.08.19,2025년도 2학기 수강신청(타대생)
2025.08.19 - 2025.08.22,2025년도 2학기 휴·복학 신청기간
2025.08.19 - 2025.08.22,2025년도 2학기 재학생 등록금납부
2025.08.22 - 2025.08.22,2025년도 1학기 후기 학위수여식
2025.08.26 - 2025.08.26,2025년도 2학기 1차 폐강강좌 공고
2025.09.01 - 2025.09.01,2025년도 2학기 개강
2025.09.01 - 2025.09.05,2025년도 2학기 수강정정(학부/타대생)
2025.09.01 - 2025.09.05,2025년도 2학기 수강정정(대학원)
2025.09.12 - 2025.09.12,2025년도 2학기 2차 폐강강좌 공고
2025.09.15 - 2025.09.16,2025년도 2학기 수강정정(학부/타대생)
2025.09.15 - 2025.09.16,2025년도 2학기 수강정정(대학원)
2025.09.17 - 2025.09.17,2025년도 2학기 확정출석부 출력
2025.09.22 - 2025.09.26,2025년도 2학기 전기 학위청구자격 종합시험
2025.09.29 - 2025.10.10,2025년도 2학기 수강취소
2025.10.10 - 2025.10.10,2025년도 2학기 수업일수 1/3선
2025.10.14 - 2025.10.14,2025년도 2학기 전기 학위청구 심사용 논문 제출
2025.10.20 - 2025.10.25,2025년도 2학기 중간고사
2025.10.29 - 2025.10.29,2025년도 2학기 수업일수 1/2선
2025.11.14 - 2025.11.14,2025년도 2학기 수업일수 2/3선
2025.12.15 - 2025.12.20,2025년도 2학기 기말고사
2025.12.15 - 2025.12.29,2025년도 2학기 성적입력
2025.12.22 - 2025.12.22,2025년도 2학기 겨울휴가 시작
2026.02.01 - 2026.03.31,2026년도 1학기 학위청구자격시험 WEB 신청
2026.02.02 - 2026.03.31,2025년도 1학기 학위청구자격시험 WEB 신청
2026.02.02 - 2026.03.31,2025년도 1학기 학위청구자격시험 WEB 신청_조회
2026.02.02 - 2026.03.31,2025년도 1학기 학위청구자격시험(외국어시험) WEB 신청
2026.02.20 - 2026.02.20,2025년도 2학기 전기 학위수여식
